项目名称,GitHub 仓库
Metabase,https://github.com/metabase/metabase
Windmill,https://github.com/windmill-labs/windmill
Mealie,https://github.com/mealie-recipes/mealie
Twenty CRM,https://github.com/twentyhq/twenty
Excalidraw,https://github.com/excalidraw/excalidraw
Chatwoot,https://github.com/chatwoot/chatwoot
LibreChat,https://github.com/danny-avila/LibreChat
Bagisto,https://github.com/bagisto/bagisto
Plausible Analytics,https://github.com/plausible/analytics
Miniflux,https://github.com/miniflux/v2
Apache Guacamole,https://github.com/apache/guacamole-client
Plane,https://github.com/makeplane/plane
PostHog,https://github.com/PostHog/posthog
Gitea,https://github.com/go-gitea/gitea
Authentik,https://github.com/goauthentik/authentik
Jellyfin,https://github.com/jellyfin/jellyfin
Keila,https://github.com/pentacent/keila
Vaultwarden,https://github.com/dani-garcia/vaultwarden
LibreDesk,https://github.com/abhinavxd/libredesk
Actual Budget,https://github.com/actualbudget/actual
Gatus,https://github.com/TwiN/gatus
Misskey,https://github.com/misskey-dev/misskey
Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF
MeTube,https://github.com/alexta69/metube
NocoDB,https://github.com/nocodb/nocodb
Discourse,https://github.com/discourse/discourse
http://changedetection.io,https://github.com/dgtlmoon/changedetection.io
Memos,https://github.com/usememos/memos
Zabbix,https://github.com/zabbix/zabbix
FreeScout,https://github.com/freescout-helpdesk/freescout
Uptime Kuma,https://github.com/louislam/uptime-kuma
Penpot,https://github.com/penpot/penpot
Budibase,https://github.com/Budibase/budibase
http://Rocket.Chat,https://github.com/RocketChat/Rocket.Chat
Umami,https://github.com/umami-software/umami
Komga,https://github.com/gotson/komga
Immich,https://github.com/immich-app/immich
Grocy,https://github.com/grocy/grocy
FreshRSS,https://github.com/FreshRSS/FreshRSS
